participant_id	array_call_rate	het_rate	sex_check_pass	ancestry_pc1	ancestry_pc2	kinship_flag
OFH100467	0.9953	0.219	True	-0.0171	0.0111	False
OFH100468	0.9895	0.328	True	-0.0164	0.0069	False
OFH100469	0.9909	0.236	True	-0.0072	0.0038	False
OFH100470	0.9853	0.229	True	0.0195	0.0046	False
OFH100471	0.9989	0.251	True	-0.0142	-0.0182	False
OFH100472	0.9965	0.212	True	-0.005	0.0103	False
OFH100473	0.9969	0.198	True	-0.0178	0.018	False
OFH100474	0.998	0.319	True	0.0128	-0.0195	False
OFH100475	0.9947	0.198	True	-0.002	-0.0191	False
OFH100476	0.9879	0.266	True	-0.0118	0.0009	False
OFH100477	0.9886	0.257	True	0.0092	-0.0143	False
OFH100478	0.9948	0.183	True	0.0033	0.0065	False
OFH100479	0.9856	0.207	True	-0.0086	0.0116	False
OFH100480	0.9937	0.188	True	0.0062	-0.0197	False
OFH100481	0.9904	0.223	True	0.0141	0.0064	False
OFH100482	0.9971	0.183	True	0.0147	0.006	False
OFH100483	0.9882	0.241	True	0.0191	-0.016	False
OFH100484	0.9894	0.319	True	0.0013	-0.0125	False
OFH100485	0.992	0.253	True	0.0171	-0.0191	False
OFH100486	0.9885	0.265	True	-0.0067	-0.0043	False
OFH100487	0.9872	0.235	True	-0.0059	0.005	False
OFH100488	0.9883	0.337	True	0.0001	0.0125	False
OFH100489	0.9938	0.321	True	0.0156	0.0126	False
OFH100490	0.9854	0.269	True	-0.0088	-0.0139	False
OFH100491	0.9976	0.285	True	-0.0165	-0.0047	False
OFH100492	0.9984	0.278	True	0.005	-0.0109	False
OFH100493	0.9884	0.204	True	0.0188	0.0164	False
OFH100494	0.9896	0.267	True	-0.0117	-0.0145	False
OFH100495	0.9926	0.308	True	0.0145	-0.0076	False
OFH100496	0.9949	0.264	True	-0.0146	0.0198	False
OFH100497	0.9987	0.203	True	0.0173	0.0167	False
OFH100498	0.9894	0.269	True	0.0179	-0.0153	False
OFH100499	0.9894	0.321	True	0.0091	0.0106	False
